DPEX,,,,,,,,,
Weight (kg),Australia Metro,Australia Capital,Australia Regional,Australia Remote,NZ Zone-1,NZ Zone-2,NZ Zone-3,NZ Zone-4,NZ Zone-5
1,1096,1178,1239,2520,1095,1332,1210,1210,1332
2,1499,1682,1842,3437,1655,1892,1901,1901,2032
3,1851,2136,2394,4524,2186,2473,2542,2542,2682
4,2303,2690,3047,5711,2749,3102,3227,3227,3374
5,2805,3294,3749,6948,3400,3823,4007,4007,4162
Per Kg (6+),516,606,684,1269,630,707,687,692.5,714
Per Kg (7+),504,588,657,1198,622,695,737,737,762
Per Kg (8+),496,575,637,1145,617,685,730,730,752
Per Kg (9+),489,565,622,1104,612,678,724,724,745
Per Kg (10+),484,557,609,1071,609,672,719,719,739
Per Kg (11+),469,540,589,1034,596,658,706,706,725
Per Kg (12+),466,535,580,1011,594,654,703,703,721
Per Kg (13+),463,530,573,992,592,650,700,700,717
Per Kg (14+),460,526,567,976,590,647,698,698,714
Per Kg (15+),458,523,561,962,588,645,696,696,712
Per Kg (16+),456,520,556,949,587,643,694,694,710
Per Kg (17+),454,517,552,938,586,641,692,692,708
Per Kg (18+),452,515,549,929,585,639,691,691,706
Per Kg (19+),451,513,545,920,584,638,690,690,705
Per Kg (20+),450,511,542,912,583,636,689,689,703