skynet rakhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination,AUSTRALIA-METRO,AUSTRALIA-CAPITAL,AUSTRALIA-REGIONAL,NZ ZONE 1,NZ ZONE 2,NZ ZONE 3,NZ ZONE 4,HONG KONG,MALAYSIA - DDP,MALAYSIA OTHERS-DDP,UK - SKYNET,CANADA,USA,KTM VALLLEY,REST OF NEPAL,SAUDI ARABIA,BHARAIN,KUWAIT DIRECT,QATAR DIRECT,OMAN DIRECT,SRI LANKA DIRECT,UNITED ARAB EMIRATES,LEBANON,SUDAN,JORDAN,EGYPT,IRAN,BANGLADESH,SINGAPORE,THAILAND,CAMBODIA,TAIWAN,INDONESIA,BRUNEI,PHILIPPINES,VIETNAM,CHINA,MACAU,NEW ZEALAND,SOUTH KOREA,JAPAN,MALAYSIA,Netherlands (NL),Germany (DE),Belgium (BE),Luxembourg (LU),France (FR),Austria (AT),Czech Republic (CZ),Poland (PL),Hungary (HU),Ireland (IE),Lithuania (LT),Slovakia (SK),Latvia (LV),Estonia (EE),Spain (ES),Sweden (SE),Portugal (PT),Italy (IT),Finland (FI),Bulgaria (BG),Romania (RO),Greece (GR),Croatia (HR),SLOVENIA (SI),DENMARK (DK)
0.5kg,979,979,979,1248,1548,1564,1580,603,430,581,537,1120,707,225,290,1074,1069,1000,1203,1004,1215,365,697,697,1339,1215,1238,1463,415,828,943,786,849,1103,921,852,1084,823,1405,1440,1546,688,1678,1083,1678,1678,1979,1678,1907,1910,2202,2238,3348,2292,3348,3348,2331,2303,2227,1997,3348,4417,4417,4417,3348,2292,1307
1.0kg,1140,1140,1140,1498,1801,1820,1838,691,513,683,725,1751,1023,295,360,1470,1583,1496,1630,1569,1711,463,1766,1759,1711,1587,1529,1959,489,1306,1393,1134,1072,1713,1331,1331,1617,1150,2233,1888,1888,920,1056,760,1056,1056,1209,1056,1173,1210,1365,1332,1893,1365,1893,1893,1384,1634,1312,1213,1893,2427,2427,2427,1893,1365,1173
1.5kg,1448,1448,1448,1739,2043,2063,2084,779,593,1120,914,2544,1339,364,429,1900,2078,1787,2092,2032,2206,567,2632,1855,2082,1957,3159,2454,562,1783,1844,1482,1554,2333,1740,1810,2151,1477,3061,2334,2229,1153,850,654,850,850,952,850,928,953,1056,1018,1409,1056,1409,1409,1070,1263,1020,954,1409,1765,1765,1765,1409,1056,928
2.0kg,1727,1727,1727,1981,2284,2307,2330,867,694,1221,1103,3266,1654,434,499,2296,2572,2249,2519,2496,2701,671,3431,2452,2453,2329,2485,2949,636,2261,2295,1830,1373,2933,2150,2289,2684,1804,3899,2780,2570,1385,752,621,752,752,822,752,807,819,893,865,1134,893,1134,1134,898,1014,865,823,1134,1378,1378,1378,1134,893,807
2.5kg,1197,2302,2087,2272,2575,2601,2627,1005,845,1708,1679,-,2445,552,617,2776,3115,2760,2996,3009,3246,825,4347,3063,2875,2751,3131,3494,759,2788,2796,2232,2329,3594,2610,2819,3268,2181,4177,3277,2961,1667,695,591,695,695,752,695,740,749,808,775,1001,808,1001,1001,812,906,787,752,1001,1196,1196,1196,1001,808,740
3.0kg,1313,2520,2370,2513,2816,2844,2873,1079,945,1809,1827,-,2445,622,687,3206,3610,3220,3458,3474,3741,928,5346,3659,3245,3121,3543,3989,832,3265,3245,2576,2687,4206,3020,2928,3801,2508,5595,3723,3302,1900,644,568,646,646,693,646,682,695,737,713,814,738,814,814,754,823,725,697,814,1075,1081,1081,814,738,682
3.5kg,1486,2788,2703,2804,3108,3138,3169,1229,1096,2296,2025,-,3187,742,807,3652,4154,3732,3935,4022,4286,1082,6052,4306,3667,3543,4103,4534,956,3793,3746,2974,3903,4866,3479,3827,4384,2883,6473,4220,3693,2182,616,554,619,619,660,619,631,662,697,670,850,698,850,850,713,771,688,664,850,988,994,994,850,698,631
4.0kg,1594,3007,2985,3046,3349,3382,3415,1323,1197,2397,2172,-,3187,810,875,4082,4649,4193,4395,4485,4782,1186,6861,4868,4037,3913,4429,5030,1029,4270,4197,3322,3451,5477,3889,4308,4918,3210,7300,4666,4034,2415,598,541,600,600,635,600,627,638,687,636,802,668,802,802,682,720,660,640,802,922,928,928,802,668,627
4.5kg,1768,3275,3318,3337,3640,3675,3711,1474,1347,2885,2370,-,3929,930,995,4563,5192,4703,4873,4999,5326,1340,7777,5514,4459,4335,5075,5574,1153,4798,4697,3720,3858,6138,4348,4827,5501,3587,8178,5164,4425,2697,582,535,585,585,615,585,608,614,641,612,753,645,753,753,659,691,639,620,753,870,876,876,753,645,608
5.0kg,1876,3493,3601,3578,3881,3919,3957,1574,1448,2985,2518,-,3929,999,1064,4959,5686,5165,5333,5462,5822,1444,8643,6111,4831,4707,5435,6070,1226,5276,5148,4068,4216,6748,4759,5317,6094,3914,9007,5610,4766,2930,557,516,560,560,582,560,582,592,594,592,712,614,712,712,628,655,611,593,712,818,824,824,712,614,582
6 PKG,357,451,670,608,614,714,759,288,270,545,463,-,779,161,173,375,357,450,521,490,280,251,1176,1221,937,917,1068,1155,1257,1047,1018,803,831,1337,939,1054,1192,770,1786,1093,917,575,549,511,552,552,570,552,572,580,599,574,693,600,693,693,612,610,596,581,693,786,792,792,693,600,572
7 PKG,353,439,645,585,602,697,746,288,270,545,439,-,773,161,173,370,357,449,512,475,280,251,1796,1218,917,900,1054,1165,247,1041,1008,795,827,1328,929,1048,1182,760,1774,1027,890,566,540,507,542,542,560,542,562,569,586,561,673,587,673,673,599,620,585,570,673,758,764,764,673,587,562
8 PKG,347,429,627,573,591,685,736,282,270,545,428,-,769,161,173,365,357,446,506,463,280,251,1698,1277,902,885,1045,1150,247,1036,1001,789,815,1312,921,1044,1173,753,1766,1055,871,560,533,508,535,535,552,535,553,561,575,549,655,576,655,655,576,597,574,561,655,724,730,730,655,576,553
9 PKG,341,418,612,561,591,679,728,282,270,545,422,-,766,161,173,360,357,445,501,454,280,245,1693,1221,889,876,1040,1137,241,1033,995,784,809,1316,916,1040,1167,749,1760,1044,856,555,527,500,529,529,543,529,546,553,566,530,641,567,641,641,567,595,566,554,641,704,710,710,641,567,546
10 PKG,335,412,601,543,585,667,722,276,270,545,416,-,764,161,173,358,357,445,497,446,280,245,1689,1219,880,868,1033,1137,241,1031,990,780,804,1311,911,1036,1182,744,1754,1033,843,550,522,496,524,524,537,524,540,547,559,530,628,560,628,628,560,585,559,547,628,686,692,692,628,560,540