skynet australia nz,,,,,,,
WEIGHT_KG,AUSTRALIA METRO,AUSTRALIA CAPITAL,AUSTRALIA OTHERS,NEW ZEALAND ZONE 1,NZ ZONE 2,NZ ZONE 3,NZ ZONE 4
0.5 KG,979,1109,1185,1560,1915,1933,1952
1.0 KG,1115,1238,1314,1797,2155,2176,2198
1.5 KG,1367,1552,1677,2111,2469,2493,2518
2.0 KG,1620,1866,2040,2425,2783,2810,2838
2.5 KG,1872,2180,2403,2739,3097,3127,3158
3.0 KG,2124,2494,2766,3054,3411,3444,3478
3.5 KG,2376,2808,3130,3368,3725,3761,3798
4.0 KG,2629,3122,3493,3682,4040,4078,4118
4.5 KG,2867,3436,3856,3996,4354,4395,4438
5.0 KG,3105,3750,4219,4310,4668,4712,4758
6 PK,582,681,763,721,728,847,899
7 PK,575,662,734,693,714,826,883
8 PK,561,646,713,680,700,812,872
9 PK,554,635,695,666,700,805,863
10 PKG,554,627,683,644,693,791,855
11 PK,547,619,671,631,673,770,835
12 PK,547,617,662,631,666,763,831
13 PK,540,610,655,631,666,763,826
14 PK,540,603,648,631,659,756,823
15 PK,533,596,642,631,659,756,820
16 PK,533,589,637,631,659,749,817
17 PK,526,589,631,631,658,742,814
18 PK,518,583,631,631,659,742,812
19 PK,518,583,624,631,652,735,810
20 PK,518,583,624,631,652,735,809
20+ PK,N/A,N/A,N/A,617,645,728,800
25+ PK,N/A,N/A,N/A,610,631,693,796
31+ PK,N/A,N/A,N/A,610,631,693,796
51+ PK,N/A,N/A,N/A,610,631,693,796
70+ PK,N/A,N/A,N/A,610,631,693,796