skysaver,,,
Weight (kg),Zone 1 (Melbourne City),Zone 2 (Sydney),Zone 3 (Rest of Australia)
1,878,1616,1198
2,1101,2102,1753
3,1307,2514,2293
4,1523,2935,2844
5,1739,3357,3395
Per Kg (6+),349,444,650
Per Kg (7+),346,432,626
Per Kg (8+),340,423,608
Per Kg (9+),334,411,593
Per Kg (10+),328,405,582
Per Kg (11+),328,405,573
Per Kg (12+),328,393,564
Per Kg (13+),322,387,558
Per Kg (14+),316,387,552
Per Kg (15+),308,381,548
Per Kg (16+),308,375,543
Per Kg (17+),308,375,539
Per Kg (18+),306,370,536
Per Kg (19+),293,328,532
Per Kg (20+),265,322,530